Census year,Block ID,Property ID,Base property ID,CLUE small area,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,x coordinate,y coordinate,Location
2018,1,108843,108843,Melbourne (CBD),92 Rebecca Walk MELBOURNE 3000,4512,Takeaway Food Services,144.9575,-37.8211,"(-37.8211, 144.9575)"
2018,1,611393,611393,Melbourne (CBD),"Part Ground , 525 Flinders Street MELBOURNE 3000",4511,Cafes and Restaurants,144.9572,-37.8209,"(-37.8209, 144.9572)"
2018,1,611394,611394,Melbourne (CBD),Part 557 Flinders Street MELBOURNE 3000,4512,Takeaway Food Services,144.9565,-37.821,"(-37.821, 144.9565)"
2018,1,611394,611394,Melbourne (CBD),547 Flinders Street MELBOURNE 3000,4511,Cafes and Restaurants,144.9565,-37.821,"(-37.821, 144.9565)"
2018,1,611394,611394,Melbourne (CBD),553 Flinders Street MELBOURNE 3000,4512,Takeaway Food Services,144.9565,-37.821,"(-37.821, 144.9565)"
2018,1,611394,611394,Melbourne (CBD),551 Flinders Street MELBOURNE 3000,4511,Cafes and Restaurants,144.9565,-37.821,"(-37.821, 144.9565)"
2018,1,611395,611395,Melbourne (CBD),563 Flinders Street MELBOURNE 3000,4512,Takeaway Food Services,144.9558,-37.8211,"(-37.8211, 144.9558)"
2018,4,104034,104034,Melbourne (CBD),Flinders Street MELBOURNE 3000,4512,Takeaway Food Services,144.9653,-37.8187,"(-37.8187, 144.9653)"
2018,4,104034,104034,Melbourne (CBD),Flinders Street MELBOURNE 3000,4512,Takeaway Food Services,144.9653,-37.8187,"(-37.8187, 144.9653)"
2018,4,104034,104034,Melbourne (CBD),Flinders Street MELBOURNE 3000,4512,Takeaway Food Services,144.9653,-37.8187,"(-37.8187, 144.9653)"
2018,4,104034,104034,Melbourne (CBD),289 Flinders Street MELBOURNE 3000,4512,Takeaway Food Services,144.9653,-37.8187,"(-37.8187, 144.9653)"
2018,4,104034,104034,Melbourne (CBD),287-361 Flinders Street MELBOURNE 3000,4512,Takeaway Food Services,144.9653,-37.8187,"(-37.8187, 144.9653)"
2018,4,104034,104034,Melbourne (CBD),Flinders Street MELBOURNE 3000,4512,Takeaway Food Services,144.9653,-37.8187,"(-37.8187, 144.9653)"
2018,4,104034,104034,Melbourne (CBD),"Suite 30, Ground , 207-361 Flinders Street MELBOURNE 3000",4511,Cafes and Restaurants,144.9653,-37.8187,"(-37.8187, 144.9653)"
2018,4,104034,104034,Melbourne (CBD),Flinders Street MELBOURNE 3000,4512,Takeaway Food Services,144.9653,-37.8187,"(-37.8187, 144.9653)"
2018,4,104034,104034,Melbourne (CBD),Flinders Street MELBOURNE 3000,4512,Takeaway Food Services,144.9653,-37.8187,"(-37.8187, 144.9653)"
2018,4,104034,104034,Melbourne (CBD),Flinders Street MELBOURNE 3000,4512,Takeaway Food Services,144.9653,-37.8187,"(-37.8187, 144.9653)"
2018,4,104034,104034,Melbourne (CBD),2 Flinders Street MELBOURNE 3000,4511,Cafes and Restaurants,144.9653,-37.8187,"(-37.8187, 144.9653)"
2018,4,104034,104034,Melbourne (CBD),"Shop 17, Part 0-0 Flinders Street MELBOURNE 3000",4511,Cafes and Restaurants,144.9653,-37.8187,"(-37.8187, 144.9653)"
2018,4,104034,104034,Melbourne (CBD),Flinders Street MELBOURNE 3000,4512,Takeaway Food Services,144.9653,-37.8187,"(-37.8187, 144.9653)"
2018,5,101345,101345,Melbourne (CBD),"Kiosk 12,  Flinders Street MELBOURNE 3000",4512,Takeaway Food Services,,,
2018,6,110655,110655,Melbourne (CBD),"Vault , 15-19 Princes Walk MELBOURNE 3000",4511,Cafes and Restaurants,144.969,-37.8187,"(-37.8187, 144.969)"
2018,6,110655,110655,Melbourne (CBD),"Vault , Part 1-9 Princes Walk MELBOURNE 3000",4512,Takeaway Food Services,144.969,-37.8187,"(-37.8187, 144.969)"
2018,6,110655,110655,Melbourne (CBD),"Vault , Part 1-9 Princes Walk MELBOURNE 3000",4511,Cafes and Restaurants,144.969,-37.8187,"(-37.8187, 144.969)"
2018,6,578319,573333,Melbourne (CBD),"Tenancy 22, 2 Swanston Street MELBOURNE 3000",4511,Cafes and Restaurants,144.9705,-37.8178,"(-37.8178, 144.9705)"
2018,6,578319,573333,Melbourne (CBD),"Tenancy 8, 2 Swanston Street MELBOURNE 3000",4511,Cafes and Restaurants,144.9705,-37.8178,"(-37.8178, 144.9705)"
2018,6,578320,573333,Melbourne (CBD),"Tenancy 3, 2 Swanston Street MELBOURNE 3000",4511,Cafes and Restaurants,144.9705,-37.8178,"(-37.8178, 144.9705)"
2018,6,578320,573333,Melbourne (CBD),"Tenancy 4, 2 Swanston Street MELBOURNE 3000",4511,Cafes and Restaurants,144.9705,-37.8178,"(-37.8178, 144.9705)"
2018,6,578323,573333,Melbourne (CBD),"Tenancy 30, 2 Swanston Street MELBOURNE 3000",4511,Cafes and Restaurants,144.9705,-37.8178,"(-37.8178, 144.9705)"
2018,6,578324,573333,Melbourne (CBD),"Tenancy 29, Level 1, 2 Swanston Street MELBOURNE 3000",4511,Cafes and Restaurants,144.9705,-37.8178,"(-37.8178, 144.9705)"
2018,6,578325,573333,Melbourne (CBD),"Tenancy 26, 2 Swanston Street MELBOURNE 3000",4511,Cafes and Restaurants,144.9705,-37.8178,"(-37.8178, 144.9705)"
2018,6,578325,573333,Melbourne (CBD),"Tenancy 25, 2 Swanston Street MELBOURNE 3000",4511,Cafes and Restaurants,144.9705,-37.8178,"(-37.8178, 144.9705)"
2018,11,103957,103957,Melbourne (CBD),28 Flinders Lane MELBOURNE 3000,4512,Takeaway Food Services,144.9567,-37.8199,"(-37.8199, 144.9567)"
2018,11,103957,103957,Melbourne (CBD),"Suite 1, Ground , 535 Flinders Lane MELBOURNE 3000",4512,Takeaway Food Services,144.9567,-37.8199,"(-37.8199, 144.9567)"
