Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,86338,2022,1,1,37.1,1,Y
IDCJAC0010,86338,2022,1,2,30.9,1,Y
IDCJAC0010,86338,2022,1,3,20.3,1,Y
IDCJAC0010,86338,2022,1,4,23.1,1,Y
IDCJAC0010,86338,2022,1,5,29.3,1,Y
IDCJAC0010,86338,2022,1,6,30.2,1,Y
IDCJAC0010,86338,2022,1,7,25.8,1,Y
IDCJAC0010,86338,2022,1,8,19.7,1,Y
IDCJAC0010,86338,2022,1,9,21.9,1,Y
IDCJAC0010,86338,2022,1,10,31.4,1,Y
IDCJAC0010,86338,2022,1,11,29.7,1,Y
IDCJAC0010,86338,2022,1,12,30.4,1,Y
IDCJAC0010,86338,2022,1,13,34.6,1,Y
IDCJAC0010,86338,2022,1,14,32.8,1,Y
IDCJAC0010,86338,2022,1,15,24.2,1,Y
IDCJAC0010,86338,2022,1,16,31.9,1,Y
IDCJAC0010,86338,2022,1,17,24.2,1,Y
IDCJAC0010,86338,2022,1,18,21.3,1,Y
IDCJAC0010,86338,2022,1,19,26.7,1,Y
IDCJAC0010,86338,2022,1,20,30.4,1,Y
IDCJAC0010,86338,2022,1,21,29.6,1,Y
IDCJAC0010,86338,2022,1,22,32.3,1,Y
IDCJAC0010,86338,2022,1,23,32.6,1,Y
IDCJAC0010,86338,2022,1,24,33.7,1,Y
IDCJAC0010,86338,2022,1,25,31.4,1,Y
IDCJAC0010,86338,2022,1,26,36,1,Y
IDCJAC0010,86338,2022,1,27,32.8,1,Y
IDCJAC0010,86338,2022,1,28,32.8,1,Y
IDCJAC0010,86338,2022,1,29,21.8,1,Y
IDCJAC0010,86338,2022,1,30,29.2,1,Y
IDCJAC0010,86338,2022,1,31,34,1,Y
IDCJAC0010,86338,2022,2,1,23.6,1,Y
IDCJAC0010,86338,2022,2,2,19.9,1,Y
IDCJAC0010,86338,2022,2,3,18.2,1,Y
IDCJAC0010,86338,2022,2,4,24.5,1,Y
IDCJAC0010,86338,2022,2,5,26.8,1,Y
IDCJAC0010,86338,2022,2,6,27.9,1,Y
IDCJAC0010,86338,2022,2,7,28.6,1,Y
IDCJAC0010,86338,2022,2,8,30.5,1,Y
IDCJAC0010,86338,2022,2,9,30.9,1,Y
IDCJAC0010,86338,2022,2,10,22.7,1,Y
IDCJAC0010,86338,2022,2,11,21.4,1,Y
IDCJAC0010,86338,2022,2,12,28.3,1,Y
IDCJAC0010,86338,2022,2,13,32.1,1,Y
IDCJAC0010,86338,2022,2,14,31.6,1,Y
IDCJAC0010,86338,2022,2,15,22.5,1,Y
IDCJAC0010,86338,2022,2,16,25.8,1,Y
IDCJAC0010,86338,2022,2,17,24.3,1,Y
IDCJAC0010,86338,2022,2,18,21,1,Y
IDCJAC0010,86338,2022,2,19,21.9,1,Y
IDCJAC0010,86338,2022,2,20,23.8,1,Y
IDCJAC0010,86338,2022,2,21,20.3,1,Y
IDCJAC0010,86338,2022,2,22,22.5,1,Y
IDCJAC0010,86338,2022,2,23,32,1,Y
IDCJAC0010,86338,2022,2,24,22.7,1,Y
IDCJAC0010,86338,2022,2,25,21.7,1,Y
IDCJAC0010,86338,2022,2,26,29.1,1,Y
IDCJAC0010,86338,2022,2,27,25.6,1,Y
IDCJAC0010,86338,2022,2,28,23.9,1,Y
IDCJAC0010,86338,2022,3,1,25.8,1,N
IDCJAC0010,86338,2022,3,2,29.6,1,N
IDCJAC0010,86338,2022,3,3,30.5,1,N
IDCJAC0010,86338,2022,3,4,32.5,1,N
IDCJAC0010,86338,2022,3,5,22.2,1,N
IDCJAC0010,86338,2022,3,6,21.8,1,N
